Which of these areas of solar physics do you work in? Check all that apply.,How would you describe the stage of your career?,What country is your institution in?,Do you self-identify as one or more underrepresented minorities in solar physics? This question is optional.,Do you self-identify as a unrepresented gender identity in Solar Physics? This question is optional.,Do you use software in your research?,Have you had formal training in programming?,Which of the following statements is most applicable to you?,Which of the following have you personally utilized in your work within the last year?,Have you cited software papers in your published research?,Why haven’t you cited software in your research?,On which of these have you run software for solar-physics research?
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, SQL, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Commercial cloud"
"Numerical Simulations, Theory",Graduate student,United States,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, Shell scripting, Spreadsheets (e.g. Excel), MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster, Commercial cloud"
"Observational (Space-Based), Observational (Ground-Based)",Postdoc,Latvia,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, MATLAB, Spreadsheets (e.g. Excel)",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",France,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C++, Fortran, SQL, HTML/CSS, Spreadsheets (e.g. Excel), MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster, GPU"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting",Yes,,"Laptop / Desktop computer, Local Cluster"
"Numerical Simulations, Theory",Postdoc,Spain,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, Python, SunPy, Shell scripting, C, C++, Fortran, HTML/CSS, Mathematica, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United Kingdom,No,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",Spain,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, Fortran, Spreadsheets (e.g. Excel), Mathematica",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Graduate student,Austria,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Spreadsheets (e.g. Excel), MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster"
"Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",Sweden,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SQL",Yes,,"Laptop / Desktop computer, Local Cluster"
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",France,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"SolarSoft, Python, SunPy, C, Fortran, HTML/CSS, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Theory",Postdoc,Germany,No,No,Yes,No,Somewhere in between.,Python,Yes,,Local Cluster
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",Germany,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, C++, Fortran, MATLAB, R, SQL, Spreadsheets (e.g. Excel), MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster, GPU"
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",Belgium,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C++, Fortran, HTML/CSS, Spreadsheets (e.g. Excel), maple",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster, GPU"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",Sweden,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Perl, HTML/CSS, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft",No,I am not sure how to appropriately cite software,"Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",Finland,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft, HTML/CSS",Sometimes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",Czech Republic,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, Fortran",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, R",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, MATLAB, Mathematica",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,Yes,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, Python, SunPy, MATLAB, SQL, Spreadsheets (e.g. Excel)",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Sometimes,,Laptop / Desktop computer
"Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,,,Yes,No,Somewhere in between.,"C++, MATLAB",Sometimes,,"Laptop / Desktop computer, Shared workstation"
Observational (Space-Based),partially retired,United States,,,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, Github (or similar)",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,I write mostly my own software.,"Python, Shell scripting, COBOL",No,I do not think it is necessary,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,,Yes,No,I write mostly my own software.,"IDL, Fortran",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft, Python, SunPy",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, Python, SunPy, Shell scripting, C++, Fortran, Perl, MATLAB, SQL, HTML/CSS, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, GPU"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Postdoc,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, C++, HTML/CSS, Github (or similar)",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Postdoc,United States,No,,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, Fortran, Spreadsheets (e.g. Excel)",Yes,,"Laptop / Desktop computer, Shared workstation"
Numerical Simulations,"Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"Python, C++, Fortran, MPI, Github (or similar)",No,I do not think software belongs in citations,"Laptop / Desktop computer, Regional or National Cluster"
"Observational (Space-Based), Numerical Simulations, Theory, Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, MATLAB, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Ground-Based), Numerical Simulations",Graduate student,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, Shell scripting",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, Fortran, MPI, Github (or similar)",No,,"Laptop / Desktop computer, Shared workstation, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory",Retired,United States,No,No,Yes,No,Somewhere in between.,"IDL, Mathematica",No,I do not think software belongs in citations,Laptop / Desktop computer
Theory,"Faculty, Staff Scientist, Researcher",Spain,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, Python",Yes,,Laptop / Desktop computer
Observational (Space-Based),"Retired, but still doing research at a University",United States,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Fortran, Spreadsheets (e.g. Excel)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Postdoc,Hungary,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, Python",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, Python, Shell scripting, C, C++, Fortran, Perl, Javascript, Julia, MATLAB, Java, R, SQL, HTML/CSS, Spreadsheets (e.g. Excel), MPI, Github (or similar)",No,I do not think it is necessary,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster, GPU"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",Germany,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I mostly use software written by others.,"IDL, SolarSoft, Shell scripting, HTML/CSS",Sometimes,,Laptop / Desktop computer
Theory,Graduate student,United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy, MATLAB, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",Russia,,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Spreadsheets (e.g. Excel)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Numerical Simulations",Postdoc,Belgium,No,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, C, C++",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, HTML/CSS, Spreadsheets (e.g. Excel)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, GPU, Commercial cloud"
"Observational (Space-Based), Numerical Simulations",Graduate student,Belgium,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, Shell scripting, Fortran, Github (or similar)",Yes,,Laptop / Desktop computer
"Numerical Simulations, Theory",Graduate student,Belgium,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, Python, Shell scripting, Fortran, MATLAB",Sometimes,,"Laptop / Desktop computer, Local Cluster"
Theory,Graduate student,United Kingdom,No,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy, Maple",No,I do not think it is necessary,Laptop / Desktop computer
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, C++, Javascript, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)",Postdoc,United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)",Software developer,Switzerland,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, Python, C++, MATLAB, R, SQL, HTML/CSS",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Numerical Simulations,"Faculty, Staff Scientist, Researcher",Mexico,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"C++, Fortran, MPI",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory",Graduate student,United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Fortran, Mathematica, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory, Instrumentation",Postdoc,India,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Javascript, MATLAB, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,No,Somewhere in between.,"IDL, Python, Fortran, MATLAB",Sometimes,,"Laptop / Desktop computer, Shared workstation, Regional or National Cluster"
Theory,"Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,No,Somewhere in between.,"Python, MATLAB, Mathematica",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Numerical Simulations",Postdoc,Finland,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Fortran, Spreadsheets (e.g. Excel), MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Theory",Graduate student,United States,No,No,Yes,No,I mostly use software written by others.,"IDL, SolarSoft, Python, SunPy, R",Sometimes,,Laptop / Desktop computer
Observational (Space-Based),Undergraduate student,United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy, Spreadsheets (e.g. Excel), Github (or similar)",No,,Laptop / Desktop computer
"Observational (Space-Based), Numerical Simulations",Postdoc,United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy, Shell scripting, Github (or similar)",Yes,,Laptop / Desktop computer
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, C, C++, Fortran, MATLAB, Mathematica",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory, Instrumentation","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Fortran, MPI",Yes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Numerical Simulations, Theory",Recently completed PhD but now working in industry,United Kingdom,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, Fortran, MATLAB, HTML/CSS, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Instrumentation",Postdoc,United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, MATLAB, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, Commercial cloud"
"Observational (Space-Based), Observational (Ground-Based)",Undergrad student and working in IT company as DevOps,Serbia,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Commercial cloud"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Fortran, Perl, Javascript, SQL, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
